Code,CriticalBedsPer100k,CritRate,MaxPercentageInfectedForIcuBeds
AD,7.1,0.026823769456994696,0.21175249098030313
AT,21.8,0.027585921695905142,0.6322065360820913
BD,0.7,0.008566527726520173,0.06537071003299942
BE,15.9,0.027299215357609773,0.4659474579533747
BN,13.1,0.009111439276497602,1.150202474271273
BG,12.2,0.028316389917744187,0.34467670590607286
CN,3.6,0.016325962840355337,0.17640613470472144
HR,14.7,0.02904066778271237,0.40494936576495033
CY,11.4,0.02008360030844131,0.4541018472752013
CZ,11.6,0.026170068255974288,0.3546035841110768
DK,6.7,0.02730737993333452,0.1962839354447539
EG,10.6,0.007975691525693468,1.0632306894871644
EE,14.6,0.02815253293796865,0.4148827398847463
FI,6.1,0.030042111961662732,0.16243864633177102
FR,11.6,0.028892364023418875,0.32119213202761954
DE,29.2,0.03138817067433385,0.7442294182216074
GR,6.0,0.032260745269909324,0.14878763524651492
CN-HK,11.6,0.02630405661380277,0.35279729420634004
HU,13.8,0.02634350125709731,0.4190786901200413
IS,9.1,0.02170604707692308,0.3353904086820017
IN,2.3,0.009640881490370777,0.19085391743875027
ID,2.7,0.009657881018944978,0.22365154382860244
IR,4.6,0.010020441056013352,0.36724930364134034
IE,6.5,0.01997419628919461,0.2603358815900408
IT,12.5,0.033289414517123105,0.30039579082582823
JP,7.3,0.03885125184810285,0.1503169067198326
KZ,21.3,0.011803128160012295,1.443685078141374
LA,2.1,0.006637793333595397,0.25309615945665775
LV,9.7,0.028559230308312686,0.27171600621678205
LT,15.5,0.02933113936533604,0.4227588927095856
LU,24.8,0.021181614263166632,0.9366613778110572
MY,3.4,0.010583250569965431,0.2570098838743534
MN,8.8,0.007330308531088752,0.9603961375080575
MM,1.1,0.009295172277513128,0.0946728015067451
NP,2.8,0.008397643119108998,0.26674150928167417
NO,8.0,0.02409970756461343,0.2655633883872258
OM,14.6,0.004980677724922659,2.345062388107307
PK,1.5,0.006770584509409699,0.17723728259092708
PH,2.2,0.00836740800944798,0.21033992820867736
PL,6.9,0.025472531238350183,0.21670402318279866
PT,4.2,0.031765945168278346,0.10577365106564862
RO,12.4,0.02608479905468861,0.3802981184252953
RU,,0.02181438117966792,
SA,22.8,0.0063866836020830455,2.8559423225617353
SG,11.4,0.01877340244802741,0.4857936660788025
SK,9.2,0.022270528442610626,0.3304816057223847
SI,6.4,0.028389614095121925,0.18034764343203066
KR,10.6,0.022893179337810002,0.37041600359957744
ES,9.7,0.028995567904357505,0.2676271085841989
LK,2.3,0.015370655684214215,0.11970862127174539
SE,5.8,0.02775036991208276,0.16720497833723297
CH,11.0,0.027160332077857167,0.3240019295336348
TW,28.5,0.02228664561637754,1.0230341699894585
TH,10.4,0.01881594808729023,0.4421780907027471
NL,6.4,0.02736869611907833,0.18707504287830948
GB,6.6,0.02612719911437121,0.2020882520505517
US,34.7,0.022898847342157358,1.2122880940340233
